executor,connector,submission_method,task_chain_length,task_data_bytes,task_overhead_fraction,task_sleep,task_timestamps,workflow_makespan_ms
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1709842809.1508532-1709842809.1527185-1709842809.1527877-1709842809.1680038-1709842810.152863-1709842810.174685-1709842810.1776788:1709842810.178093-1709842810.179522-1709842810.1795952-1709842810.1929402-1709842811.1796734-1709842811.2028239-1709842811.2056892:1709842811.206086-1709842811.2075834-1709842811.207654-1709842811.2241137-1709842812.2077587-1709842812.229355-1709842812.231859:1709842812.2323034-1709842812.2336996-1709842812.2338073-1709842812.2450256-1709842813.233879-1709842813.25972-1709842813.2620826:1709842813.262481-1709842813.2639358-1709842813.2641277-1709842813.2789783-1709842814.2642136-1709842814.2865694-1709842814.2889428:1709842814.289349-1709842814.2907617-1709842814.29086-1709842814.3014762-1709842815.2909257-1709842815.312073-1709842815.3142977:1709842815.3146877-1709842815.316008-1709842815.3162737-1709842815.3266392-1709842816.3163443-1709842816.341635-1709842816.3440173:1709842816.3444319-1709842816.3460093-1709842816.3461008-1709842816.3556478-1709842817.3461692-1709842817.3694134-1709842817.3718455,8258.361605
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1709842817.405091-1709842817.4068222-1709842817.4069514-1709842817.4173083-1709842818.4070268-1709842818.4299066-1709842818.4321346:1709842818.432515-1709842818.4338815-1709842818.4340184-1709842818.4444788-1709842819.434096-1709842819.4560375-1709842819.4584696:1709842819.4588997-1709842819.460475-1709842819.4605465-1709842819.4731467-1709842820.46064-1709842820.4822514-1709842820.4848683:1709842820.4852726-1709842820.4868362-1709842820.4869473-1709842820.4982514-1709842821.4870205-1709842821.509643-1709842821.5119915:1709842821.5123875-1709842821.5137467-1709842821.5138676-1709842821.525495-1709842822.5139406-1709842822.5363925-1709842822.5386627:1709842822.5390337-1709842822.5406845-1709842822.5407844-1709842822.5521667-1709842823.5408611-1709842823.5656722-1709842823.568081:1709842823.568472-1709842823.5698817-1709842823.569982-1709842823.5838149-1709842824.570059-1709842824.5929477-1709842824.5953357:1709842824.5957298-1709842824.5972865-1709842824.5973935-1709842824.6125596-1709842825.5974689-1709842825.6201155-1709842825.6222694,8246.755408
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1709842825.652039-1709842825.6617014-1709842825.6617684-1709842825.6727962-1709842826.6618423-1709842826.6855972-1709842826.688028:1709842826.6884286-1709842826.6896844-1709842826.6897523-1709842826.700305-1709842827.689824-1709842827.7126932-1709842827.7150664:1709842827.7154534-1709842827.7169302-1709842827.717011-1709842827.728081-1709842828.7170854-1709842828.739036-1709842828.7413783:1709842828.7417686-1709842828.7435482-1709842828.743618-1709842828.7555332-1709842829.7436814-1709842829.769718-1709842829.7720447:1709842829.772434-1709842829.7736876-1709842829.7737644-1709842829.7839477-1709842830.7738388-1709842830.79634-1709842830.798591:1709842830.798975-1709842830.8002384-1709842830.800306-1709842830.8106222-1709842831.800377-1709842831.8230622-1709842831.8254697:1709842831.8258622-1709842831.8271122-1709842831.8271859-1709842831.8374758-1709842832.8272586-1709842832.8492212-1709842832.8513904:1709842832.851774-1709842832.8530574-1709842832.8531303-1709842832.8633628-1709842833.853202-1709842833.8752015-1709842833.8774664,8253.672533
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1709842833.906427-1709842833.907755-1709842833.9078236-1709842833.921746-1709842834.9078977-1709842834.9316947-1709842834.9339566:1709842834.9343376-1709842834.9356053-1709842834.935672-1709842834.949031-1709842835.9357398-1709842835.9585233-1709842835.9608538:1709842835.961248-1709842835.9625363-1709842835.9626122-1709842835.9733896-1709842836.9626815-1709842836.9844713-1709842836.9867544:1709842836.98714-1709842836.9883711-1709842836.9884396-1709842836.9986796-1709842837.988506-1709842838.010879-1709842838.013456:1709842838.0141368-1709842838.0155218-1709842838.0155892-1709842838.0265255-1709842839.0156555-1709842839.0378273-1709842839.039994:1709842839.0403755-1709842839.0415998-1709842839.0416734-1709842839.0521317-1709842840.0417476-1709842840.0639024-1709842840.066144:1709842840.0665288-1709842840.0677447-1709842840.0678172-1709842840.077623-1709842841.0678914-1709842841.0904913-1709842841.0928237:1709842841.093216-1709842841.09444-1709842841.0945063-1709842841.1051605-1709842842.0945702-1709842842.1172252-1709842842.1193776,8241.505173
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1709842842.148994-1709842842.1585674-1709842842.1586342-1709842842.1693585-1709842843.1587205-1709842843.1813767-1709842843.1837316:1709842843.1841145-1709842843.1853466-1709842843.185414-1709842843.195562-1709842844.1854908-1709842844.2077665-1709842844.210158:1709842844.2108452-1709842844.2119744-1709842844.2120404-1709842844.2254465-1709842845.2121093-1709842845.2354422-1709842845.237728:1709842845.2382662-1709842845.2397187-1709842845.2397842-1709842845.25398-1709842846.2398648-1709842846.2619958-1709842846.264316:1709842846.2646978-1709842846.2661686-1709842846.2662363-1709842846.2765002-1709842847.266313-1709842847.2880197-1709842847.2904875:1709842847.2908788-1709842847.2922192-1709842847.2922945-1709842847.3042324-1709842848.2923603-1709842848.3148606-1709842848.317:1709842848.3173823-1709842848.3186724-1709842848.3187459-1709842848.32897-1709842849.3188214-1709842849.3408215-1709842849.343367:1709842849.3437507-1709842849.3449602-1709842849.3450336-1709842849.3559358-1709842850.3451056-1709842850.3683798-1709842850.3708227,8251.377275
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1709842850.4011507-1709842850.4026291-1709842850.4027061-1709842850.4147282-1709842851.4028058-1709842851.4260786-1709842851.428183:1709842851.4017327-1709842851.4033206-1709842851.4033968-1709842851.4368534-1709842852.4034734-1709842852.4258225-1709842852.429652:1709842852.4023607-1709842852.4036405-1709842852.403707-1709842852.4366632-1709842853.4037845-1709842853.4256217-1709842853.431115:1709842853.4029663-1709842853.4042273-1709842853.4042928-1709842853.4365592-1709842854.4043558-1709842854.4295714-1709842854.4327552:1709842854.4035609-1709842854.404939-1709842854.4050064-1709842854.4370072-1709842855.405086-1709842855.4281037-1709842855.4341629:1709842855.404154-1709842855.40544-1709842855.4055161-1709842855.44171-1709842856.405584-1709842856.4276812-1709842856.4359937:1709842856.4049041-1709842856.4064298-1709842856.4065099-1709842856.4386294-1709842857.4065819-1709842857.4291265-1709842857.4376223:1709842857.4056191-1709842857.406859-1709842857.4069397-1709842857.4429765-1709842858.4070165-1709842858.430343-1709842858.4391067,8056.298334
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1709842858.457906-1709842858.461271-1709842858.4613392-1709842858.4746718-1709842859.4614058-1709842859.4833796-1709842859.4852006:1709842859.4585571-1709842859.4598532-1709842859.4599261-1709842859.4969714-1709842860.4599912-1709842860.4820042-1709842860.4868631:1709842860.4591615-1709842860.460439-1709842860.4605012-1709842860.4942186-1709842861.4605672-1709842861.483011-1709842861.4884446:1709842861.4598246-1709842861.4611287-1709842861.4611928-1709842861.4936438-1709842862.4612684-1709842862.4828496-1709842862.4900548:1709842862.460423-1709842862.4617064-1709842862.4617805-1709842862.4933944-1709842863.4618556-1709842863.4842422-1709842863.4917898:1709842863.4609995-1709842863.4623315-1709842863.4624038-1709842863.4952197-1709842864.4624786-1709842864.4839337-1709842864.493501:1709842864.4615998-1709842864.4630222-1709842864.4630945-1709842864.4943385-1709842865.4631603-1709842865.4854236-1709842865.4949114:1709842865.4622016-1709842865.4635289-1709842865.463612-1709842865.5187984-1709842866.463678-1709842866.4863684-1709842866.4964974,8057.161985
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1709842866.5159833-1709842866.51966-1709842866.519732-1709842866.5312786-1709842867.5198054-1709842867.5476208-1709842867.5495038:1709842867.5167894-1709842867.5180142-1709842867.5180786-1709842867.5546749-1709842868.5181444-1709842868.5407834-1709842868.551092:1709842868.517372-1709842868.5186603-1709842868.5187232-1709842868.555286-1709842869.5188158-1709842869.5405576-1709842869.5528164:1709842869.5179758-1709842869.5193617-1709842869.5194263-1709842869.5535412-1709842870.519494-1709842870.5418074-1709842870.5542572:1709842870.5185595-1709842870.519828-1709842870.5199018-1709842870.5525782-1709842871.5199656-1709842871.5423946-1709842871.5557857:1709842871.519213-1709842871.5205796-1709842871.5206451-1709842871.5533829-1709842872.5207446-1709842872.5456984-1709842872.5573685:1709842872.5197964-1709842872.5210805-1709842872.5211523-1709842872.552709-1709842873.5212185-1709842873.5431437-1709842873.5590053:1709842873.520429-1709842873.5216923-1709842873.521768-1709842873.5543077-1709842874.5218368-1709842874.5444686-1709842874.560643,8063.858855
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1709842874.5794637-1709842874.5827823-1709842874.582846-1709842874.5936239-1709842875.5829086-1709842875.6058815-1709842875.6076336:1709842875.5801399-1709842875.5814347-1709842875.5814972-1709842875.6165721-1709842876.5815754-1709842876.6040509-1709842876.6090639:1709842876.580747-1709842876.5820813-1709842876.5821457-1709842876.6158092-1709842877.5822415-1709842877.6048062-1709842877.6106617:1709842877.5813322-1709842877.582777-1709842877.5828574-1709842877.6159177-1709842878.582929-1709842878.604544-1709842878.612244:1709842878.582149-1709842878.5832498-1709842878.583325-1709842878.6188407-1709842879.5833943-1709842879.6063523-1709842879.6137314:1709842879.5828624-1709842879.58435-1709842879.5844324-1709842879.6208484-1709842880.584501-1709842880.609494-1709842880.6151314:1709842880.5834544-1709842880.5847504-1709842880.5848236-1709842880.6170442-1709842881.5849159-1709842881.6074402-1709842881.6167092:1709842881.5840507-1709842881.585433-1709842881.5855079-1709842881.6204724-1709842882.5855784-1709842882.60826-1709842882.6180954,8057.200562
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1709842882.6370096-1709842882.646463-1709842882.6465275-1709842882.6570172-1709842883.6466002-1709842883.671495-1709842883.6734874:1709842883.6376915-1709842883.6389384-1709842883.6390123-1709842883.6789885-1709842884.639083-1709842884.662588-1709842884.6751513:1709842884.6382387-1709842884.6394608-1709842884.6395433-1709842884.6735826-1709842885.639609-1709842885.6613314-1709842885.6767125:1709842885.6388347-1709842885.64007-1709842885.6401362-1709842885.6715791-1709842886.6402006-1709842886.6622787-1709842886.6783037:1709842886.6394138-1709842886.6406968-1709842886.640762-1709842886.6729853-1709842887.640832-1709842887.6627586-1709842887.6799915:1709842887.6399734-1709842887.6411588-1709842887.6412306-1709842887.6740758-1709842888.6413057-1709842888.66354-1709842888.6815445:1709842888.6406026-1709842888.6420598-1709842888.6421354-1709842888.6769147-1709842889.642207-1709842889.6647651-1709842889.6831641:1709842889.6411548-1709842889.6423633-1709842889.6424453-1709842889.6779034-1709842890.642508-1709842890.664102-1709842890.6849482,8066.61977
