executor,connector,submission_method,task_chain_length,task_data_bytes,task_overhead_fraction,task_sleep,task_timestamps,workflow_makespan_ms
DaskExecutor,None,no-proxy,8,10000000,0.0,1.0,1710185622.1688442-1710185622.1995044-1710185622.1995168-1710185622.1995175-1710185623.2005641-1710185623.2213845-1710185623.258807:1710185623.381513-1710185623.4064367-1710185623.406454-1710185623.406456-1710185624.407377-1710185624.4284227-1710185624.4384694:1710185624.5628097-1710185624.585063-1710185624.5850747-1710185624.5850768-1710185625.5861096-1710185625.607174-1710185625.6160102:1710185625.7401047-1710185625.7617414-1710185625.761752-1710185625.7617533-1710185626.7627711-1710185626.7841883-1710185626.7928836:1710185626.9151025-1710185626.9388032-1710185626.938812-1710185626.9388137-1710185627.9398308-1710185627.961005-1710185627.9729:1710185628.0954483-1710185628.118435-1710185628.1184437-1710185628.1184456-1710185629.1194315-1710185629.1406834-1710185629.1490753:1710185629.273604-1710185629.2964244-1710185629.2964332-1710185629.296435-1710185630.297457-1710185630.3182266-1710185630.3266864:1710185630.45169-1710185630.4736066-1710185630.4736154-1710185630.4736166-1710185631.4746356-1710185631.495903-1710185631.505378,9486.734605
DaskExecutor,None,no-proxy,8,10000000,0.0,1.0,1710185631.6514742-1710185631.6806912-1710185631.6807046-1710185631.6807065-1710185632.6812568-1710185632.702762-1710185632.7124903:1710185632.8370066-1710185632.8609715-1710185632.8609803-1710185632.860982-1710185633.8619661-1710185633.8839188-1710185633.8923452:1710185634.014835-1710185634.0389416-1710185634.0389507-1710185634.038952-1710185635.0398905-1710185635.060736-1710185635.0693252:1710185635.1950247-1710185635.2152538-1710185635.2152677-1710185635.2152696-1710185636.2162743-1710185636.238225-1710185636.246489:1710185636.371752-1710185636.3927827-1710185636.3927975-1710185636.3927999-1710185637.3938468-1710185637.4149456-1710185637.423377:1710185637.548634-1710185637.5711355-1710185637.5711484-1710185637.57115-1710185638.5721567-1710185638.5939136-1710185638.6027763:1710185638.7256355-1710185638.7498019-1710185638.7498114-1710185638.749813-1710185639.7508507-1710185639.7716038-1710185639.7797124:1710185639.9045935-1710185639.926503-1710185639.9265106-1710185639.9265122-1710185640.9275343-1710185640.9489195-1710185640.9578824,9449.031742
DaskExecutor,None,no-proxy,8,10000000,0.0,1.0,1710185641.1029475-1710185641.132673-1710185641.1326811-1710185641.132683-1710185642.133702-1710185642.154374-1710185642.1628413:1710185642.2875247-1710185642.31139-1710185642.3113987-1710185642.3114004-1710185643.3124406-1710185643.334127-1710185643.342485:1710185643.4648838-1710185643.488288-1710185643.488297-1710185643.4882984-1710185644.4892852-1710185644.5105765-1710185644.5195372:1710185644.6416922-1710185644.6658995-1710185644.6659083-1710185644.6659095-1710185645.6669104-1710185645.688569-1710185645.6972666:1710185645.8227448-1710185645.8428943-1710185645.842903-1710185645.8429043-1710185646.8439403-1710185646.8652534-1710185646.873859:1710185646.9963372-1710185647.0206573-1710185647.0206652-1710185647.0206664-1710185648.0217068-1710185648.0437605-1710185648.0524337:1710185648.1750138-1710185648.1979852-1710185648.1979988-1710185648.1980007-1710185649.1990252-1710185649.2201667-1710185649.228913:1710185649.3515704-1710185649.3752143-1710185649.3752222-1710185649.3752239-1710185650.3762524-1710185650.3977132-1710185650.4060235,9446.982749
DaskExecutor,None,no-proxy,8,10000000,0.0,1.0,1710185650.5503526-1710185650.5805192-1710185650.580531-1710185650.580533-1710185651.5814917-1710185651.6026428-1710185651.6118755:1710185651.7392642-1710185651.7605007-1710185651.7605107-1710185651.7605116-1710185652.7615418-1710185652.7832355-1710185652.7919688:1710185652.9146688-1710185652.9381366-1710185652.9381459-1710185652.9381475-1710185653.9391122-1710185653.959976-1710185653.9686525:1710185654.093633-1710185654.1146672-1710185654.1146805-1710185654.1146824-1710185655.115719-1710185655.1376657-1710185655.146066:1710185655.268279-1710185655.291371-1710185655.29138-1710185655.291382-1710185656.2923694-1710185656.3135817-1710185656.322252:1710185656.4449558-1710185656.4692051-1710185656.4692178-1710185656.4692197-1710185657.470256-1710185657.4916892-1710185657.5010026:1710185657.6233878-1710185657.6464684-1710185657.6464767-1710185657.646479-1710185658.6474884-1710185658.6690679-1710185658.677882:1710185658.8031642-1710185658.8244066-1710185658.8244197-1710185658.8244212-1710185659.8254607-1710185659.8464026-1710185659.8548179,9447.483368
DaskExecutor,None,no-proxy,8,10000000,0.0,1.0,1710185659.9991915-1710185660.0308924-1710185660.030901-1710185660.0309024-1710185661.0319245-1710185661.0532517-1710185661.0621848:1710185661.186177-1710185661.210064-1710185661.2100751-1710185661.2100766-1710185662.2110922-1710185662.2323146-1710185662.240445:1710185662.3626716-1710185662.386802-1710185662.3868108-1710185662.3868124-1710185663.387814-1710185663.409137-1710185663.4185982:1710185663.5443587-1710185663.5654254-1710185663.5654345-1710185663.565436-1710185664.566445-1710185664.587691-1710185664.5961034:1710185664.7211032-1710185664.7425435-1710185664.7425523-1710185664.742554-1710185665.7435725-1710185665.7649739-1710185665.7737274:1710185665.8988547-1710185665.9192526-1710185665.9192612-1710185665.9192626-1710185666.9202502-1710185666.9412704-1710185666.9498546:1710185667.0756931-1710185667.096566-1710185667.09658-1710185667.0965822-1710185668.0976343-1710185668.1196716-1710185668.1283088:1710185668.253342-1710185668.2747123-1710185668.2747214-1710185668.2747233-1710185669.275749-1710185669.2971368-1710185669.305124,9449.254046
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1710185669.3316264-1710185669.334161-1710185669.3341749-1710185669.3516161-1710185670.335191-1710185670.3633556-1710185670.3680074:1710185670.3685913-1710185670.3709168-1710185670.3709304-1710185670.3886228-1710185671.3719623-1710185671.39831-1710185671.4025378:1710185671.4031153-1710185671.4056942-1710185671.4057086-1710185671.4195867-1710185672.4067473-1710185672.4330616-1710185672.4369974:1710185672.4375634-1710185672.4398482-1710185672.4398696-1710185672.452841-1710185673.440901-1710185673.4669545-1710185673.471363:1710185673.471954-1710185673.4753604-1710185673.4753795-1710185673.4890747-1710185674.4764142-1710185674.503177-1710185674.5074673:1710185674.5083048-1710185674.511268-1710185674.5112803-1710185674.5248532-1710185675.5123012-1710185675.5377016-1710185675.541835:1710185675.5424063-1710185675.5447667-1710185675.544779-1710185675.5584042-1710185676.5458117-1710185676.5722024-1710185676.5764117:1710185676.5769787-1710185676.5791802-1710185676.5791936-1710185676.5928442-1710185677.580213-1710185677.606532-1710185677.6111767,8312.53825
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1710185677.64361-1710185677.6463737-1710185677.646387-1710185677.659984-1710185678.6474035-1710185678.6736631-1710185678.6777422:1710185678.6783206-1710185678.6804185-1710185678.6804311-1710185678.6941264-1710185679.6814682-1710185679.7081697-1710185679.7128184:1710185679.7133837-1710185679.7156575-1710185679.715672-1710185679.7293394-1710185680.7168581-1710185680.743172-1710185680.747662:1710185680.748237-1710185680.7504609-1710185680.7504742-1710185680.7637298-1710185681.7514908-1710185681.777759-1710185681.782115:1710185681.7826838-1710185681.7848475-1710185681.7848604-1710185681.7984977-1710185682.7858632-1710185682.8126721-1710185682.8166642:1710185682.8172295-1710185682.81961-1710185682.819624-1710185682.8331158-1710185683.8206558-1710185683.847721-1710185683.8525622:1710185683.853129-1710185683.8554747-1710185683.8554888-1710185683.8714418-1710185684.8565176-1710185684.8827753-1710185684.8874295:1710185684.8880074-1710185684.8901448-1710185684.8901572-1710185684.9065871-1710185685.891194-1710185685.9178252-1710185685.9224353,8309.425224
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1710185685.954179-1710185685.9571083-1710185685.957122-1710185685.97048-1710185686.9581525-1710185686.984408-1710185686.988848:1710185686.9894185-1710185686.9920506-1710185686.9920635-1710185687.0050201-1710185687.9931054-1710185688.0196948-1710185688.0239668:1710185688.0248458-1710185688.0268638-1710185688.02688-1710185688.0407913-1710185689.0279102-1710185689.0543313-1710185689.0585213:1710185689.0590868-1710185689.061427-1710185689.0614464-1710185689.0746708-1710185690.0618384-1710185690.0883152-1710185690.0954392:1710185690.096002-1710185690.0982528-1710185690.0982692-1710185690.1120193-1710185691.099302-1710185691.125237-1710185691.1294315:1710185691.1300058-1710185691.1326733-1710185691.132693-1710185691.145861-1710185692.1337368-1710185692.1594012-1710185692.1635797:1710185692.164147-1710185692.1667562-1710185692.1667678-1710185692.179655-1710185693.1678033-1710185693.1938055-1710185693.1978724:1710185693.198441-1710185693.2005558-1710185693.200569-1710185693.213417-1710185694.2016077-1710185694.227771-1710185694.232055,8309.45784
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1710185694.2647913-1710185694.2675548-1710185694.2675767-1710185694.2828336-1710185695.2686136-1710185695.2944486-1710185695.2986042:1710185695.2994382-1710185695.3013728-1710185695.3013945-1710185695.317015-1710185696.3018627-1710185696.327657-1710185696.3319857:1710185696.3325617-1710185696.335274-1710185696.3352973-1710185696.34821-1710185697.3363326-1710185697.3628755-1710185697.3668938:1710185697.367466-1710185697.3698902-1710185697.3699071-1710185697.382625-1710185698.370926-1710185698.3962042-1710185698.4004037:1710185698.4012456-1710185698.4032037-1710185698.4032266-1710185698.4163089-1710185699.4042587-1710185699.4301105-1710185699.434255:1710185699.434827-1710185699.4374328-1710185699.4374561-1710185699.4501104-1710185700.437863-1710185700.4644957-1710185700.468814:1710185700.4694574-1710185700.4717073-1710185700.4717262-1710185700.4851804-1710185701.4727426-1710185701.4982257-1710185701.5022838:1710185701.5031264-1710185701.5053992-1710185701.5054214-1710185701.5183544-1710185702.5064545-1710185702.5325882-1710185702.5366008,8303.732281
DaskExecutor,RedisConnector,sequential,8,10000000,0.0,1.0,1710185702.569584-1710185702.572528-1710185702.5725467-1710185702.5855246-1710185703.573565-1710185703.599002-1710185703.6032114:1710185703.603773-1710185703.6063051-1710185703.6063225-1710185703.6189568-1710185704.6073616-1710185704.633294-1710185704.6375751:1710185704.6382177-1710185704.6404915-1710185704.6405118-1710185704.6541018-1710185705.6415462-1710185705.6673787-1710185705.6716094:1710185705.6721716-1710185705.6745465-1710185705.67456-1710185705.6873238-1710185706.6755953-1710185706.702426-1710185706.7067938:1710185706.7074018-1710185706.7096303-1710185706.709649-1710185706.7226698-1710185707.7106695-1710185707.736633-1710185707.7410533:1710185707.7416348-1710185707.7438617-1710185707.7438815-1710185707.757036-1710185708.7449157-1710185708.7710423-1710185708.7752018:1710185708.775857-1710185708.7781527-1710185708.7781723-1710185708.7943165-1710185709.779204-1710185709.8050456-1710185709.8092911:1710185709.8099535-1710185709.8124905-1710185709.8125098-1710185709.8281212-1710185710.813528-1710185710.838945-1710185710.8433392,8305.509872
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1710185710.8783283-1710185710.8810709-1710185710.8810835-1710185710.8940403-1710185711.882103-1710185711.9075527-1710185711.9120755:1710185711.8807697-1710185711.8838403-1710185711.8838537-1710185711.919845-1710185712.8848503-1710185712.914902-1710185712.9177794:1710185712.8828826-1710185712.8857045-1710185712.885715-1710185712.9228957-1710185713.8867316-1710185713.9168878-1710185713.9231086:1710185713.8851354-1710185713.8880424-1710185713.8880517-1710185713.9254656-1710185714.8890326-1710185714.919321-1710185714.9271297:1710185714.8873827-1710185714.890399-1710185714.890409-1710185714.926761-1710185715.8914032-1710185715.9170308-1710185715.9309876:1710185715.8897855-1710185715.8921127-1710185715.8921223-1710185715.9282467-1710185716.8930993-1710185716.9238412-1710185716.9346347:1710185716.8922668-1710185716.8947518-1710185716.8947623-1710185716.9312124-1710185717.8957536-1710185717.9260595-1710185717.9385555:1710185717.8943856-1710185717.8967638-1710185717.8967733-1710185717.9337184-1710185718.8977747-1710185718.9239628-1710185718.9426908,8089.961477
